sted;mappe;mangler
Sollifjellet;sollifjellet;landingsbilde
Storlitinden;storlitinden;landingsbilde, yr_id
Rødmoldheia;rodmoldheia;landingsbilde, yr_id
Elgen;elgen;landingsbilde, luftrom, yr_id
Vetefjellet;vetefjellet;nivå, gangrute, landingsbilde, yr_id
Storhornet;storhornet;nivå, startbilde, landingsbilde, luftrom, yr_id
Finnslettheia;finnslettheia;nivå, landing, parkering, gangrute, oversiktsbilde, startbilde, landingsbilde, luftrom, yr_id
Storbakkan;storbakkan;nivå, parkering, gangrute, startbilde, landingsbilde, luftrom, yr_id
Samaåsen;samaasen;nivå, parkering, gangrute, startbilde, landingsbilde, luftrom, yr_id
Heia;heia;nivå, startbilde, landingsbilde, luftrom, yr_id
Hinnstein;hinnstein;nivå, startbilde, landingsbilde, luftrom, yr_id
Nontua;nontua;nivå, parkering, gangrute, startbilde, landingsbilde, luftrom, yr_id
Høgfjellet;hogfjellet;oversiktsbilde, startbilde, landingsbilde, luftrom, yr_id
Keipen;keipen;nivå, startbilde, landingsbilde, luftrom, yr_id
Trastad;trastad;nivå, landing, parkering, gangrute, oversiktsbilde, startbilde, landingsbilde, luftrom, yr_id
Borkenes;borkenes;nivå, landing, parkering, gangrute, oversiktsbilde, startbilde, landingsbilde, luftrom, yr_id
Utstrand;utstrand;nivå, landing, parkering, gangrute, oversiktsbilde, startbilde, landingsbilde, luftrom, yr_id
Daleskallen;daleskallen;nivå, parkering, gangrute, startbilde, landingsbilde, luftrom, yr_id
Dale;dale;nivå, parkering, gangrute, startbilde, landingsbilde, luftrom, yr_id
Strand;strand;nivå, landing, parkering, gangrute, oversiktsbilde, startbilde, landingsbilde, luftrom, yr_id
Reinfjellet;reinfjellet;nivå, parkering, gangrute, oversiktsbilde, startbilde, landingsbilde, luftrom, yr_id
Kilhusåsen;kilhusasen;nivå, startbilde, landingsbilde, luftrom, yr_id
Steinsåsen;steinsasen;nivå, parkering, gangrute, startbilde, landingsbilde, luftrom, yr_id
Svartdalsåsen;svartdalsasen;nivå, parkering, gangrute, startbilde, landingsbilde, luftrom, yr_id
Blåhatten;blahatten;nivå, startbilde, landingsbilde, luftrom, yr_id
Storgalten;storgalten;nivå, landing, parkering, gangrute, oversiktsbilde, startbilde, landingsbilde, luftrom, yr_id
Nupen;nupen;nivå, parkering, gangrute, startbilde, landingsbilde, luftrom, yr_id
Hemmestadheia;hemmestadheia;nivå, landing, parkering, gangrute, oversiktsbilde, startbilde, landingsbilde, luftrom, yr_id
Melå aksla;mela-aksla;nivå, landing, oversiktsbilde, startbilde, landingsbilde, luftrom, yr_id
Sætertinden;saetertinden;nivå, oversiktsbilde, startbilde, landingsbilde, yr_id
